Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",09/03/2017,21.6,15.5,18.4,,,0,,,12.6,197.42,51.7,326.4,4.6,57.14,Clear
"Winnipeg, MB, Canada",09/04/2017,18,13,15.6,,,2.63,,,18.2,308.38,51.8,327,4.3,59.64,Rain
"Winnipeg, MB, Canada",09/05/2017,18.4,9.7,14.2,9.2,,0,,,17.7,293.38,46.3,329.8,2.6,49.89,Clear
"Winnipeg, MB, Canada",09/06/2017,20.1,8.7,14.7,,,0.45,,,8,247.88,,329.7,4,47.68,Rain
"Winnipeg, MB, Canada",09/07/2017,21.6,13.3,17.1,,,0,,,13.6,122.04,37.1,328.2,3.7,51.74,Clear
"Winnipeg, MB, Canada",09/08/2017,21.8,7.8,15,,,0,,,8.5,138.29,38.9,330.9,0.5,58.08,Clear
"Winnipeg, MB, Canada",09/09/2017,26.7,10.2,18.1,,,0,,,7.2,221.5,49.9,330.1,0.6,58.55,Clear
"Winnipeg, MB, Canada",09/10/2017,28.1,17,22.8,,28,0,,,13.4,207.58,60.9,327.9,1.8,61.33,Clear
"Winnipeg, MB, Canada",09/11/2017,26.4,14.3,21,,,0,,,12.4,255.79,38.9,328.6,4.6,34.71,Clear
"Winnipeg, MB, Canada",09/12/2017,33.4,15.7,23.2,,31.3,0,,,12.1,225.29,33.5,322.7,0.7,40.95,Clear
"Winnipeg, MB, Canada",09/13/2017,21.5,14.1,17.4,,,0.06,,,13.8,69.75,38.9,322.3,4.9,65.43,Rain
"Winnipeg, MB, Canada",09/14/2017,16.7,11.6,13.5,,,0,,,13.9,85.13,40.7,326.7,5.8,69.62,Clear
"Winnipeg, MB, Canada",09/15/2017,11.8,8.3,10.4,6,,8.01,,,16.9,22.29,46.4,328.1,6.2,77.8,Rain
